Partners,Balance-2004,Balance-2005,Balance-2006,Balance-2007,Balance-2008,Balance-2009,Balance-2010,Balance-2011,Balance-2012,Balance-2013,Balance-2014,Balance-2015,Balance-2016,Balance-2017,Balance-2018,Balance-2019,Balance-2020,Balance-2021,Balance-2022,Balance-2023
Saint Lucia,371,3329,3862,639,0,581,66,511,2920,1901,660,1078,2990,1956,4424,2901,5200,1535,9826,3299
Saint Pierre and Miquelon,96,0,0,0,0,0,714,43,33,0,249,63,44,1344,395,0,0,,,
Saint Vincent and the Grenadines,-1703,32,21004,13016,6490,124,4227,496,2045,1421,6388,2651,2242,13251,13614,7592,474,3262,819,7317
Samoa,4468,9399,14407,77,3780,3409,2762,10700,4228,1748,21556,-241,-9643,-4683,974,3984,2535,11556,4962,11722
Sao Tome and Principe,16241,1146,2420,4172,3512,-12615,1341,2258,2388,11802,8304,4262,192663,8541,5635,4763,196,-605,19358,9511
Saudi Arabia,-15559674,-17379073,-22257430,-22965660,-42112283,-24109455,-20916792,-29366397,-61898486,-74194963,-72014523,-28163946,-36023026,-46693751,-66090930,-46843346,-38121309,-55068831,-65263990,-49145699
Senegal,196314,260702,312727,399560,559711,451086,620492,661713,752792,875706,1227525,1164499,1734227,1563472,1836913,1518876,1520190,1874852,2745621,3245626
Serbia,0,0,18785,32565,8,35606,-3192,9067,-16415,-70629,-57857,-57394,-64177,-105500,-155177,-247298,-233547,-361342,-456222,-689560
Serbia and Montenegro,-5358,-4013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Seychelles,193107,572479,460636,360216,461986,472634,405227,359320,375803,430949,577185,793384,953464,813705,774359,821595,713838,834689,1077135,1394824
Ship stores and bunkers,1473562,1819032,1843276,2550645,4357395,4329685,1453320,1196447,1069087,1244697,1688292,9512034,5751842,8114953,4785148,8448724,11294706,5643580,11356690,10765174
Sierra Leone,123158,135031,144886,138225,86863,84631,307378,1089696,1000762,890888,604305,324122,314612,614799,582777,653434,308153,465407,1030427,1393829
Singapore,-616571,-255784,-3693202,-2067383,-2633557,-2230932,-3791023,-5427625,-2964762,-9489110,-10491919,-9707187,821901,-11042,-1188002,480524,2236596,2984647,-8285619,-2289196
Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,,,
Slovakia,-362996,-409359,-369646,-780554,-884385,-654361,-700471,-768737,-1005456,-1307692,-1350882,-2049955,-2150534,-2635764,-3118290,-3326199,-3015587,-3832959,-4885495,-5876008
Slovenia,-92322,-34076,-48177,15735,46514,-24757,384471,671830,364017,649472,529537,307328,241920,656161,309235,429171,1134177,2456205,523287,-84988
Solomon Islands,352,-51,644,204,-10067,5250,1530,16495,532,2967,52076,-1497,-1510,931,12442,563,65971,7202,11923,4442
Somalia,935,-1772,1958,7706,221717,37828,137517,103458,28593,63533,58702,73312,129145,165287,171082,394416,191027,142659,163314,247038
South Africa,0,0,-2627547,0,-3764409,0,-2080007,-3198152,-3306975,-2877850,-3106905,-2773844,-5326815,-4457118,-4991857,-6174776,-8973742,-8631444,-9541381,-7899550
South Sudan,0,0,0,0,0,0,0,0,0,221,1353,0,0,0,0,0,0,,,
Spain,2818955,3233913,2960715,4530982,6595971,2750227,-1238616,-1672146,-2505838,-10236157,-8133497,-6639484,-6730514,-4252930,-167356,-7425411,-9352379,-3115824,-5050906,-3123296
Special categories,0,0,0,0,0,0,-2990590,-3670119,259731,-3764,-69755,0,0,0,0,0,0,,,
Sri Lanka,86529,104860,48271,41198,129630,39321,128014,51039,-37172,-30105,-211410,641940,1666167,2346432,2125740,1626894,2333916,2724521,3661112,1363878
Sudan,0,0,0,0,0,0,0,0,286263,286387,410824,314850,341564,504310,588846,254847,281627,235257,283835,380703
Sudan (before 2012),297509,419454,388224,643172,438810,628401,456031,535403,0,0,0,0,0,0,0,0,0,,,
Suriname,5403,297,-275,3484,2580,5034,743,3265,11630,26869,7081,93403,262203,186055,118206,80508,97893,107755,76154,96895
Sweden,-2902340,-3322685,-2878454,-5080083,-9712386,-7077897,-7342700,-9426238,-10496557,-8112556,-8691215,-9891279,-8886192,-9681445,-10119024,-12069245,-9512907,-11316235,-14388586,-18172400
Switzerland,4129254,3430368,7397218,4638040,6583836,12745913,8669603,9858234,7021420,12060273,7271260,8465798,2435161,1330547,2030799,818405,-1730972,-3887006,-2346375,-2197223
Syrian Arab Republic,18648,34557,50047,72674,68984,58795,57284,29625,47232,10496,117273,153981,127269,116396,29861,26889,6133,16131,25745,26412
"Taipei, Chinese",3716736,-527315,-3700496,-1711374,555306,256927,890534,-295432,-1001964,358418,-1127184,-4215066,-3895988,1666324,-264009,-4917992,-2807617,836032,4455706,3999550
